country,continent,meanGDP,suicidios_por_100k
United Arab Emirates,Asia,42162,1.70400338061121
Hungary,Europe,9234.12,30.0224072130097
Kazakhstan,Asia,5329.11538461539,26.898614418852
Latvia,Europe,8961.09523809524,28.4710108479679
Ukraine,Europe,1867.53571428571,24.8703975174271
Finland,Europe,35468.275862069,23.7286199511578
Japan,Asia,36397.5483870968,21.920580115487
Estonia,Europe,11376.0952380952,25.9645245011131
Slovenia,Europe,18642.2380952381,26.3604768765475
Switzerland,Europe,62981.7619047619,17.4786979826728
Jamaica,Americas,3301.23529411765,0.466037315354559
Guyana,Americas,1674.92,20.645283833182
Azerbaijan,Asia,1005.125,1.48134498252532
Austria,Europe,33920,20.6761929938497
Kuwait,Asia,27819,1.69147286330338
Maldives,Asia,5088.9,0.689596675592346
Bahamas,Americas,25836.3913043478,1.41832117135638
South Africa,Africa,5589.5,0.838476929071937
Belgium,Europe,32066.7419354839,20.6925346682052
Philippines,Asia,1540.2,2.00268869360334
Antigua and Barbuda,Americas,10448.1851851852,0.552700494616697
Armenia,Asia,1807.45833333333,2.45236239351637
Grenada,Americas,6055.12,1.67528261576864
Guatemala,Americas,2263.53333333333,2.66867229610354
France,Europe,31481.4666666667,19.6992766945386
Cyprus,Asia,27821.2142857143,3.45077026515315
Albania,Europe,1859.04545454545,3.16082669705467
Serbia,Europe,4471.27777777778,19.1683633642449
Georgia,Asia,1893.13636363636,3.44448860455476
Turkey,Asia,12134.2857142857,2.09907752846196
Croatia,Europe,10254.7142857143,20.1285550673756
Suriname,Americas,4351.96428571429,18.6094161068019
Paraguay,Americas,2365.77777777778,3.83739124018492
Fiji,Oceania,3913.27272727273,3.71302653067381
Bahrain,Asia,18039.5238095238,2.76353136572288
Barbados,Americas,12251,2.84854847143188
Mexico,Americas,7138.45161290323,4.00795661339922
Republic of Korea,Asia,14801.2580645161,19.316652141796
Colombia,Americas,3708.96774193548,4.79086465075735
Greece,Europe,17019.3870967742,3.91273407181022
Brazil,Americas,6091.48387096774,4.66656990356645
Saint Vincent and Grenadines,Americas,4954.64,5.08684140787361
Panama,Americas,6626.52,4.95690220453209
Belize,Americas,4006.46428571429,5.53345794214197
Cuba,Americas,4351.16666666667,16.4494134486199
Ecuador,Americas,3286.25806451613,6.00009310889887
Malta,Europe,14044.4193548387,5.21046585750952
Saint Lucia,Americas,5789.03571428572,5.88157073739554
Nicaragua,Americas,2028.83333333333,6.34162893796491
Bulgaria,Europe,3640.43333333333,15.6885429805933
United Kingdom,Europe,31908.3548387097,7.86792817152386
Luxembourg,Europe,68798.3870967742,15.1160072495074
Israel,Asia,23125.4516129032,6.52561583289357
Poland,Europe,8146.45833333333,16.0587863195816
Czech Republic,Europe,12140.8461538462,16.6037953057122
Costa Rica,Americas,5149.7,6.64730232075802
Kiribati,Oceania,875.909090909091,7.1466519958037
Uzbekistan,Asia,976.181818181818,7.15489059622756
Thailand,Asia,3475.22222222222,6.95630809532045
Uruguay,Americas,7622.07142857143,15.6276497969054
Italy,Europe,26602.5806451613,7.70009532071959
Sweden,Europe,40948.4827586207,14.9548512164836
Turkmenistan,Asia,2618.10344827586,7.46170395519974
Seychelles,Africa,10655.7222222222,7.03610527162238
Aruba,Americas,24221.6428571429,8.01792840545632
Spain,Europe,20982.1612903226,8.16202455287548
Montenegro,Europe,4195.6,8.08930732392517
Argentina,Americas,7914.09677419355,7.93630851745057
Germany,Europe,35164.2307692308,14.384192207852
Puerto Rico,Americas,18352.6451612903,8.5807852751713
Singapore,Asia,38050.2580645161,10.7053678713606
Netherlands,Europe,35381.5161290323,10.6147679468966
New Zealand,Oceania,22279.4827586207,13.951828506293
Portugal,Europe,14176.2962962963,9.20964136957583
Romania,Europe,4630.07407407407,12.6829027998439
El Salvador,Americas,2550.66666666667,9.3701102769666
Denmark,Europe,49299.9090909091,13.6358507937876
Trinidad and Tobago,Americas,8829.03703703704,12.9276556674263
Chile,Americas,7493.06451612903,9.5632835315473
Iceland,Europe,38591.064516129,13.1217939605592
Canada,Americas,30887.4827586207,13.0210902184614
Australia,Oceania,32776.4,12.9265987305756
Ireland,Europe,34230.8666666667,11.5332736044166
Slovakia,Europe,10526,12.0151604015866
Mauritius,Africa,5370.54838709678,11.7090106049521
United States,Americas,39269.6129032258,12.8384592477117
Kyrgyzstan,Asia,720.730769230769,11.3653938794463
Norway,Europe,57319.6,13.2777917594502
